|Year | Sum | Alliance | Event | Match | Color|
|--- | --- | --- | --- | --- | ---|
|1992 | 346 | [45, 111, 190] | 1992cmp |  | Finalist|
|1992 | 126 | [126] | 1992cmp |  | Winner|

|1993 | 148 | [148] | 1993cmp |  | Winner|

|1994 | 144 | [144] | 1994cmp |  | Winner|

|1995 | 131 | [131] | 1995nh |  | Winner|
|1995 | 126 | [126] | 1995cmp |  | Finalist|
|1995 | 100 | [100] | 1995cmp |  | Winner|
|1995 | 90 | [90] | 1995nh |  | Finalist|

|1996 | 151 | [151] | 1996nh |  | Winner|
|1996 | 146 | [146] | 1996nh |  | Finalist|
|1996 | 73 | [73] | 1996cmp |  | Winner|
|1996 | 14 | [14] | 1996cmp |  | Finalist|

|1997 | 121 | [121] | 1997nh |  | Winner|
|1997 | 88 | [88] | 1997nj |  | Finalist|
|1997 | 75 | [75] | 1997nj |  | Winner|
|1997 | 71 | [71] | 1997cmp |  | Winner|
|1997 | 71 | [71] | 1997il |  | Winner|
|1997 | 69 | [69] | 1997nh |  | Finalist|
|1997 | 47 | [47] | 1997cmp |  | Finalist|
|1997 | 14 | [14] | 1997il |  | Finalist|

|1998 | 175 | [175] | 1998nj |  | Winner|
|1998 | 131 | [131] | 1998nh |  | Finalist|
|1998 | 121 | [121] | 1998cmp |  | Finalist|
|1998 | 88 | [88] | 1998nj |  | Finalist|
|1998 | 47 | [47] | 1998mi |  | Winner|
|1998 | 47 | [47] | 1998nh |  | Winner|
|1998 | 47 | [47] | 1998tx |  | Winner|
|1998 | 45 | [45] | 1998cmp |  | Winner|
|1998 | 45 | [45] | 1998mi |  | Finalist|
|1998 | 24 | [24] | 1998il |  | Finalist|
|1998 | 16 | [16] | 1998il |  | Winner|
|1998 | 16 | [16] | 1998tx |  | Finalist|

|1999 | 459 | [207, 252] | 1999ca |  | Finalist|
|1999 | 365 | [175, 190] | 1999ne |  | Finalist|
|1999 | 354 | [100, 254] | 1999ca |  | Winner|
|1999 | 337 | [23, 314] | 1999pa |  | Finalist|
|1999 | 320 | [1, 5, 314] | 1999mi |  | Finalist|
|1999 | 294 | [16, 278] | 1999fl |  | Finalist|
|1999 | 254 | [15, 239] | 1999fl |  | Winner|
|1999 | 240 | [45, 84, 111] | 1999cmp |  | Finalist|
|1999 | 225 | [1, 48, 176] | 1999cmp |  | Winner|
|1999 | 199 | [97, 102] | 1999nj |  | Finalist|
|1999 | 188 | [67, 121] | 1999pa |  | Winner|
|1999 | 183 | [27, 85, 71] | 1999mi |  | Winner|
|1999 | 164 | [75, 89] | 1999nj |  | Winner|
|1999 | 145 | [19, 126] | 1999ne |  | Winner|
|1999 | 117 | [9, 108] | 1999il |  | Finalist|
|1999 | 98 | [27, 71] | 1999il |  | Winner|

|2000 | 1127 | [337, 388, 402] | 2000va |  | Finalist|
|2000 | 1057 | [330, 359, 368] | 2000ca |  | Finalist|
|2000 | 1055 | [254, 364, 437] | 2000tx |  | Winner|
|2000 | 952 | [267, 342, 343] | 2000fl |  | Finalist|
|2000 | 890 | [146, 176, 228, 340] | 2000ne |  | Finalist|
|2000 | 802 | [55, 353, 394] | 2000li |  | Winner|
|2000 | 792 | [55, 317, 420] | 2000tx |  | Finalist|
|2000 | 743 | [16, 312, 415] | 2000fl |  | Winner|
|2000 | 723 | [60, 254, 409] | 2000ca |  | Winner|
|2000 | 704 | [134, 277, 293] | 2000pa |  | Winner|
|2000 | 644 | [19, 250, 375] | 2000li |  | Finalist|
|2000 | 597 | [47, 201, 349] | 2000mi |  | Winner|
|2000 | 577 | [131, 209, 237] | 2000ne |  | Winner|
|2000 | 512 | [25, 232, 255] | 2000cmp |  | Winner|
|2000 | 493 | [25, 175, 293] | 2000nj |  | Winner|
|2000 | 470 | [67, 122, 281] | 2000va |  | Winner|
|2000 | 359 | [102, 126, 131] | 2000cmp |  | Finalist|
|2000 | 329 | [33, 48, 248] | 2000pa |  | Finalist|
|2000 | 268 | [16, 68, 184] | 2000il |  | Finalist|
|2000 | 203 | [45, 47, 111] | 2000il |  | Winner|
|2000 | 111 | [1, 45, 65] | 2000mi |  | Finalist|

|2001 | 2648 | [384, 401, 602, 619, 642] | 2001va |  | Finalist|
|2001 | 2463 | [371, 375, 501, 522, 694] | 2001ny2 |  | Finalist|
|2001 | 2303 | [47, 331, 549, 663, 713] | 2001ny2 |  | Winner|
|2001 | 2044 | [28, 287, 514, 569, 646] | 2001ny1 |  | Finalist|
|2001 | 1989 | [148, 215, 446, 476, 704] | 2001tx |  | Winner|
|2001 | 1980 | [192, 256, 410, 524, 598] | 2001ca1 |  | Finalist|
|2001 | 1836 | [254, 260, 294, 330, 698] | 2001ca1 |  | Winner|
|2001 | 1803 | [64, 343, 383, 435, 578] | 2001va |  | Winner|
|2001 | 1797 | [65, 308, 382, 469, 573] | 2001mi1 |  | Finalist|
|2001 | 1793 | [8, 115, 376, 645, 649] | 2001ca2 |  | Finalist|
|2001 | 1709 | [57, 312, 343, 459, 538] | 2001fl |  | Winner|
|2001 | 1682 | [47, 192, 401, 469, 573] | 2001cur |  | Finalist|
|2001 | 1589 | [190, 250, 263, 353, 533] | 2001ny1 |  | Winner|
|2001 | 1565 | [60, 254, 256, 359, 636] | 2001ca2 |  | Winner|
|2001 | 1339 | [34, 231, 317, 364, 393] | 2001tx |  | Finalist|
|2001 | 1309 | [141, 236, 301, 302, 329] | 2001new |  | Finalist|
|2001 | 1212 | [21, 74, 267, 312, 538] | 2001arc |  | Finalist|
|2001 | 1212 | [87, 104, 233, 304, 484] | 2001pa |  | Finalist|
|2001 | 1134 | [71, 125, 279, 294, 365] | 2001cmp |  | Winner|
|2001 | 1134 | [71, 125, 279, 294, 365] | 2001new |  | Winner|
|2001 | 1107 | [103, 145, 191, 303, 365] | 2001nj |  | Finalist|
|2001 | 1088 | [66, 74, 111, 302, 535] | 2001mi2 |  | Finalist|
|2001 | 1048 | [69, 126, 175, 177, 501] | 2001ct |  | Winner|
|2001 | 1005 | [56, 103, 165, 316, 365] | 2001pa |  | Winner|
|2001 | 922 | [33, 74, 85, 182, 548] | 2001mi1 |  | Winner|
|2001 | 891 | [33, 111, 144, 254, 349] | 2001arc |  | Winner|
|2001 | 891 | [33, 111, 144, 254, 349] | 2001cmp |  | Finalist|
|2001 | 814 | [21, 37, 147, 267, 342] | 2001fl |  | Finalist|
|2001 | 797 | [71, 111, 112, 234, 269] | 2001il |  | Winner|
|2001 | 751 | [53, 59, 122, 177, 340] | 2001gal |  | Winner|
|2001 | 727 | [6, 9, 109, 135, 468] | 2001il |  | Finalist|
|2001 | 707 | [38, 58, 67, 125, 419] | 2001ct |  | Finalist|
|2001 | 665 | [45, 108, 128, 135, 249] | 2001gal |  | Finalist|
|2001 | 552 | [60, 75, 85, 115, 217] | 2001cur |  | Winner|
|2001 | 534 | [56, 75, 95, 133, 175] | 2001nj |  | Winner|
|2001 | 491 | [1, 33, 71, 85, 301] | 2001mi2 |  | Winner|

|2002 | 2904 | [950, 997, 957] | 2002wa | qf1 | blue|
|2002 | 2904 | [950, 997, 957] | 2002wa | qf2 | blue|
